地区,年份,人口出生率(‰),地方财政教育支出(亿元),全体居民人均消费支出(元),地区生产总值(亿元),地区生产总值指数(上年=100),医疗卫生机构床位数(万张),医疗卫生机构数(个),地方财政医疗卫生支出(亿元),医院病床使用率(%),每万人拥有卫生技术人员数(人),每万人医疗机构床位数(张),年末常住人口(万人),人口自然增长率(‰),人口死亡率(‰)
安徽省,2023年,6.45,1516.66,23607.0,48227.5,105.8,45.35,31361.0,813.92,76.0,83.0,74.09,6121.0,-2.11,8.56
福建省,2023年,6.81,1257.68,31869.0,54801.7,104.5,24.21,30023.0,620.4,79.6,78.0,57.87,4183.0,-0.14,6.95
江西省,2023年,6.52,1376.21,23379.0,32677.1,104.2,34.07,40129.0,718.51,77.5,80.0,75.46,4515.0,-0.84,7.36
山东省,2023年,6.01,2713.74,24293.0,94206.4,106.1,73.86,88186.0,1253.98,79.2,92.0,72.96,10123.0,-2.18,8.19
河南省,2023年,7.06,1993.35,21011.0,60627.7,104.2,77.74,85044.0,1140.93,83.1,88.0,79.21,9815.0,-0.94,8.0
湖北省,2023年,5.48,1357.8,27106.0,56794.3,106.1,47.61,38586.0,827.24,84.8,85.0,81.56,5838.0,-3.15,8.63
湖南省,2023年,6.0,1579.39,25462.0,50667.5,104.7,53.39,57503.0,869.1,79.6,87.0,81.29,6568.0,-3.08,9.08
广东省,2023年,8.12,4004.45,34331.0,137905.4,104.9,62.86,62819.0,2021.59,78.8,77.0,49.47,12706.0,2.76,5.36
广西壮族自治区,2023年,8.04,1187.14,19749.0,27501.7,104.1,36.2,34888.0,714.99,84.0,86.0,72.01,5027.0,0.42,7.62
海南省,2023年,9.28,361.96,23752.0,7590.2,109.2,6.09,6538.0,247.92,71.1,83.0,58.42,1043.0,2.81,6.47
重庆市,2023年,5.58,855.97,26515.0,30614.3,106.2,25.56,23389.0,493.44,81.9,85.0,80.1,3191.0,-3.32,8.9
四川省,2023年,6.32,1949.2,23550.0,61353.4,106.1,70.86,74975.0,1231.9,86.0,89.0,84.68,8368.0,-3.12,9.44
贵州省,2023年,10.65,1202.79,20161.0,21513.7,105.1,31.54,30695.0,632.26,80.1,92.0,81.6,3865.0,2.88,7.77
云南省,2023年,8.22,1173.93,20995.0,30595.8,104.5,35.99,28765.0,772.45,79.8,91.0,77.02,4673.0,-0.39,8.61
西藏自治区,2023年,13.72,335.32,17220.0,2532.9,109.7,2.16,7058.0,188.68,54.4,81.0,59.04,365.0,7.96,5.76
陕西省,2023年,6.83,1089.44,22012.0,33976.5,104.3,30.62,35133.0,679.03,81.0,99.0,77.47,3952.0,-1.31,8.14
甘肃省,2023年,7.71,715.57,19013.0,12345.7,106.6,20.4,25375.0,443.28,75.2,90.0,82.75,2465.0,-1.33,9.04
青海省,2023年,9.25,234.05,20327.0,3849.2,105.4,4.57,6950.0,197.72,72.9,98.0,76.96,594.0,1.68,7.57
宁夏回族自治区,2023年,10.02,223.69,21629.0,5368.8,106.7,4.35,4863.0,146.46,79.7,90.0,59.67,729.0,3.43,6.59
新疆维吾尔自治区,2023年,7.1,1174.15,19715.0,19603.3,107.0,19.75,18416.0,605.57,88.6,91.0,76.03,2598.0,0.93,6.17
北京市,2022年,5.67,1171.12,42683.0,45222.4,101.0,13.39,10897.0,775.82,67.9,135.0,61.32,2184.0,-0.05,5.72
天津市,2022年,4.75,478.94,31324.0,16588.5,101.2,6.85,6282.0,176.61,63.3,91.0,50.29,1363.0,-1.68,6.43
河北省,2022年,6.09,1771.15,20890.0,43198.3,103.8,48.57,90194.0,925.3,64.3,79.0,65.45,7420.0,-1.71,7.8
山西省,2022年,6.75,861.35,17537.0,25653.2,104.4,22.84,39661.0,495.05,62.6,82.0,65.6,3481.0,-0.98,7.73
内蒙古自治区,2022年,5.58,692.38,22298.0,23795.7,104.5,16.77,25062.0,433.78,55.4,90.0,69.84,2401.0,-2.25,7.83
辽宁省,2022年,4.08,745.91,22604.0,29739.7,102.2,32.62,32679.0,466.59,58.4,81.0,77.71,4197.0,-4.96,9.04
吉林省,2022年,4.32,497.82,17898.0,13121.4,98.1,17.72,25031.0,381.65,58.6,93.0,75.47,2348.0,-4.07,8.39
黑龙江省,2022年,3.34,594.39,20412.0,16359.2,102.8,26.13,20599.0,436.55,55.7,82.0,84.31,3099.0,-5.75,9.09
上海市,2022年,4.35,1122.57,46045.0,48594.5,100.2,16.53,6404.0,1308.26,79.7,95.0,66.82,2475.0,-1.61,5.96
江苏省,2022年,5.23,2598.05,32848.0,124564.2,102.7,56.3,37001.0,1442.51,74.5,84.0,66.11,8515.0,-1.81,7.04
浙江省,2022年,6.28,2197.26,38971.0,80770.0,103.4,38.17,35967.0,1236.08,79.6,93.0,58.03,6577.0,0.04,6.24
安徽省,2022年,7.16,1420.87,22542.0,45525.1,103.3,44.4,30176.0,808.08,68.4,77.0,72.45,6127.0,-0.93,8.09
福建省,2022年,7.07,1217.26,30042.0,52099.6,104.2,23.24,29116.0,606.35,72.7,74.0,55.49,4188.0,0.55,6.52
江西省,2022年,7.19,1320.01,21708.0,31568.1,104.3,31.45,35683.0,707.78,73.0,69.0,69.45,4528.0,0.25,6.94
山东省,2022年,6.71,2626.48,22640.0,89519.4,104.0,69.36,86026.0,1234.1,68.7,86.0,68.25,10163.0,-0.93,7.64
河南省,2022年,7.42,1895.57,19019.0,58807.4,102.4,75.22,81694.0,1161.28,73.1,82.0,76.2,9872.0,-0.08,7.5
湖北省,2022年,6.08,1279.08,24828.0,53445.4,104.0,45.03,36782.0,799.47,77.2,80.0,77.06,5844.0,-2.01,8.09
湖南省,2022年,6.23,1500.39,24083.0,47957.9,104.2,54.45,55338.0,820.61,74.8,79.0,82.44,6604.0,-2.31,8.54
