地区,年份,人口出生率(‰),地方财政教育支出(亿元),全体居民人均消费支出(元),地区生产总值(亿元),地区生产总值指数(上年=100),医疗卫生机构床位数(万张),医疗卫生机构数(个),地方财政医疗卫生支出(亿元),医院病床使用率(%),每万人拥有卫生技术人员数(人),每万人医疗机构床位数(张),年末常住人口(万人),人口自然增长率(‰),人口死亡率(‰)
甘肃省,2019年,10.6,636.05,15879.0,9053.3,106.4,18.12,26697.0,326.41,82.3,68.0,68.43,2509.0,3.85,6.75
青海省,2019年,13.66,221.37,17545.0,3020.2,106.3,4.14,6513.0,148.23,74.1,78.0,68.18,590.0,7.58,6.08
宁夏回族自治区,2019年,13.72,179.33,18297.0,3841.5,106.7,4.1,4397.0,106.49,81.1,80.0,58.98,717.0,8.03,5.69
新疆维吾尔自治区,2019年,8.14,863.07,17397.0,14024.9,106.3,18.64,18376.0,302.36,87.9,74.0,73.88,2559.0,3.69,4.45
北京市,2018年,8.24,1025.51,39843.0,35161.4,106.9,12.36,10058.0,490.09,83.4,119.0,57.39,2192.0,2.66,5.58
天津市,2018年,6.67,448.19,29903.0,13411.1,103.2,6.82,5686.0,192.76,77.5,67.0,43.75,1383.0,1.25,5.42
河北省,2018年,11.26,1385.59,16722.0,32947.0,106.5,42.19,85088.0,691.33,82.7,61.0,55.84,7426.0,4.88,6.38
山西省,2018年,9.63,668.03,14810.0,16153.1,106.4,20.83,42079.0,358.99,79.6,66.0,56.03,3502.0,4.31,5.32
内蒙古自治区,2018年,8.35,576.33,19665.0,16252.9,105.2,15.9,24610.0,315.62,76.1,74.0,62.75,2422.0,2.4,5.95
辽宁省,2018年,6.39,653.88,21398.0,24113.5,105.6,31.44,36029.0,350.62,78.1,70.0,72.14,4291.0,-1.0,7.39
吉林省,2018年,6.62,513.82,17200.0,11437.4,104.5,16.7,22691.0,281.22,76.0,68.0,61.76,2484.0,0.36,6.26
黑龙江省,2018年,5.98,544.38,16994.0,13205.7,104.3,25.01,20349.0,301.0,73.8,61.0,66.29,3327.0,-0.69,6.67
上海市,2018年,7.2,917.99,43351.0,37769.1,106.9,13.9,5293.0,470.12,95.9,81.0,57.36,2475.0,1.8,5.4
江苏省,2018年,9.32,2055.56,25007.0,93456.3,106.5,49.15,33254.0,845.32,86.4,73.0,61.05,8446.0,2.29,7.03
浙江省,2018年,11.02,1572.47,29471.0,59311.7,107.3,33.21,32754.0,626.2,89.5,85.0,57.88,6273.0,5.44,5.58
安徽省,2018年,12.41,1113.26,17045.0,34377.3,107.8,32.81,24925.0,627.1,83.3,53.0,51.89,6076.0,6.45,5.96
福建省,2018年,13.2,925.06,22996.0,39204.8,108.1,19.25,27590.0,441.7,83.9,63.0,48.84,4104.0,7.0,6.2
江西省,2018年,13.43,1054.41,15792.0,23016.9,108.5,24.95,36545.0,585.47,86.7,53.0,53.68,4513.0,7.37,6.06
山东省,2018年,13.26,2006.5,18780.0,67864.4,106.5,60.85,81470.0,885.15,82.5,74.0,60.56,10077.0,6.08,7.18
河南省,2018年,11.72,1664.67,15169.0,50273.5,107.6,60.85,71351.0,928.95,87.6,65.0,63.35,9864.0,4.92,6.8
湖北省,2018年,11.54,1065.64,19538.0,42425.5,107.6,39.35,36486.0,575.74,92.7,69.0,66.51,5917.0,4.54,7.0
湖南省,2018年,12.19,1186.72,18808.0,36629.3,107.6,48.24,56239.0,627.1,84.3,63.0,69.93,6635.0,5.11,7.08
广东省,2018年,12.79,2792.9,26054.0,101875.9,106.7,51.69,51451.0,1407.51,83.0,67.0,45.56,12348.0,8.24,4.55
广西壮族自治区,2018年,14.12,933.22,14935.0,19951.7,106.8,25.59,33742.0,546.52,87.6,65.0,51.96,4947.0,8.16,5.96
海南省,2018年,14.48,248.98,17528.0,5004.2,106.0,4.48,5325.0,144.46,79.6,68.0,47.97,982.0,8.47,6.01
重庆市,2018年,11.02,680.99,19248.0,21866.8,105.9,22.01,20524.0,372.79,82.2,67.0,70.96,3163.0,3.48,7.54
四川省,2018年,11.05,1461.78,17664.0,43539.0,107.8,59.89,81537.0,880.89,88.7,67.0,71.8,8321.0,4.04,7.01
贵州省,2018年,13.9,985.95,13798.0,15886.6,108.9,24.56,28066.0,481.8,81.8,68.0,68.23,3822.0,7.05,6.85
云南省,2018年,13.19,1077.43,14250.0,21427.5,108.7,29.12,24954.0,575.42,85.8,62.0,60.29,4703.0,6.87,6.32
西藏自治区,2018年,15.22,232.15,11520.0,1583.5,108.8,1.68,6844.0,106.93,64.6,55.0,48.8,354.0,10.64,4.58
陕西省,2018年,10.67,871.44,16160.0,24354.8,108.2,25.37,35300.0,455.31,84.0,85.0,65.66,3931.0,4.43,6.24
甘肃省,2018年,11.07,592.96,14624.0,8364.7,105.9,16.27,27897.0,313.53,81.6,60.0,61.71,2515.0,4.42,6.65
青海省,2018年,14.31,199.1,16557.0,2799.9,107.0,3.91,6396.0,141.6,73.2,74.0,64.92,587.0,8.06,6.25
宁夏回族自治区,2018年,13.32,170.47,16715.0,3580.6,106.6,4.1,4450.0,105.55,79.9,77.0,59.6,710.0,7.78,5.54
新疆维吾尔自治区,2018年,10.69,812.88,16189.0,13110.1,105.9,17.89,18450.0,286.14,85.6,71.0,71.93,2520.0,6.13,4.56
北京市,2017年,9.06,964.62,37425.0,31325.9,107.0,12.06,9976.0,427.87,82.4,113.0,55.58,2194.0,3.76,5.3
天津市,2017年,7.65,434.59,27841.0,12468.2,103.2,6.84,5539.0,182.1,78.1,65.0,43.94,1410.0,2.6,5.05
河北省,2017年,13.2,1276.55,15437.0,31065.5,106.6,39.5,80912.0,605.1,83.7,57.0,52.53,7409.0,6.6,6.6
山西省,2017年,11.06,620.67,13664.0,14679.1,106.7,19.75,42490.0,321.34,77.6,63.0,53.36,3510.0,5.61,5.45
内蒙古自治区,2017年,9.47,561.85,18946.0,15009.9,104.0,15.03,24218.0,323.48,74.7,71.0,59.44,2433.0,3.73,5.74
辽宁省,2017年,6.49,648.06,20463.0,22105.4,104.2,29.86,35767.0,336.63,82.0,67.0,68.35,4312.0,-0.44,6.93
吉林省,2017年,6.76,508.09,15632.0,11083.0,105.2,15.37,20828.0,279.22,77.6,62.0,56.55,2526.0,0.26,6.5
黑龙江省,2017年,6.22,573.11,15577.0,12659.5,105.8,24.17,20283.0,297.17,78.9,61.0,63.8,3399.0,-0.41,6.63
上海市,2017年,8.1,874.1,39792.0,34378.3,107.2,13.46,5144.0,412.18,95.4,77.0,55.67,2466.0,2.8,5.3
江苏省,2017年,9.71,1979.57,23469.0,86512.9,107.0,46.92,32037.0,789.52,87.5,68.0,58.43,8423.0,2.68,7.03
浙江省,2017年,11.92,1430.15,27079.0,53135.2,107.8,31.35,31979.0,584.17,89.4,81.0,55.42,6170.0,6.36,5.56
安徽省,2017年,14.07,1014.91,15752.0,30141.8,108.4,30.57,24491.0,597.74,86.2,50.0,48.88,6057.0,8.17,5.9
福建省,2017年,15.0,842.21,21249.0,34432.2,107.9,18.24,27217.0,420.44,83.1,59.0,46.63,4065.0,8.8,6.2
江西省,2017年,13.79,940.57,14459.0,20497.6,108.6,23.4,37791.0,492.59,85.8,51.0,50.64,4511.0,7.71,6.08
山东省,2017年,17.54,1890.0,17281.0,63958.6,107.5,58.48,79050.0,829.27,83.4,69.0,58.45,10033.0,10.14,7.4
河南省,2017年,12.95,1493.11,13730.0,44586.5,107.6,55.9,71089.0,836.66,88.4,61.0,58.48,9829.0,5.98,6.97
湖北省,2017年,12.6,1101.35,16938.0,37624.2,107.8,37.62,36357.0,614.69,92.7,68.0,63.74,5904.0,5.59,7.01
湖南省,2017年,13.27,1115.33,17160.0,34127.7,107.9,45.23,58624.0,585.98,85.2,61.0,65.94,6633.0,6.19,7.08
广东省,2017年,13.68,2575.52,24820.0,93004.8,107.5,49.21,49874.0,1307.56,84.0,63.0,44.06,12141.0,9.16,4.52
广西壮族自治区,2017年,15.14,920.2,13424.0,18071.7,107.1,24.11,34008.0,512.31,87.7,62.0,49.36,4907.0,8.92,6.22
海南省,2017年,14.73,220.87,15403.0,4552.9,106.9,4.2,5180.0,127.37,81.1,65.0,45.31,972.0,8.72,6.01
重庆市,2017年,11.18,626.3,17898.0,20260.8,109.1,20.64,19682.0,353.79,84.1,62.0,67.11,3144.0,3.91,7.27
四川省,2017年,11.26,1389.2,16180.0,38517.1,107.9,56.35,80481.0,831.46,91.3,64.0,67.87,8289.0,4.23,7.03
贵州省,2017年,13.98,901.96,12970.0,14067.3,110.1,23.3,28034.0,436.21,79.9,63.0,65.08,3803.0,7.1,6.88
云南省,2017年,13.53,998.33,12658.0,18864.6,109.3,27.48,24684.0,546.99,83.2,59.0,57.24,4693.0,6.85,6.68
西藏自治区,2017年,16.0,227.2,10320.0,1381.0,110.2,1.61,6826.0,93.8,72.1,49.0,47.78,349.0,11.05,4.95
陕西省,2017年,11.11,828.25,14900.0,21776.1,107.7,24.13,35861.0,418.27,83.7,81.0,62.91,3904.0,4.87,6.24
甘肃省,2017年,12.54,567.35,13120.0,7642.6,103.3,14.66,28857.0,289.24,81.6,56.0,55.83,2522.0,6.02,6.52
青海省,2017年,14.42,187.51,15503.0,2517.0,107.1,3.83,6375.0,125.21,70.6,70.0,64.08,586.0,8.25,6.17
宁夏回族自治区,2017年,13.44,170.65,15350.0,3271.6,107.1,3.98,4271.0,97.98,80.8,73.0,58.39,705.0,8.69,4.75
新疆维吾尔自治区,2017年,15.88,722.59,15087.0,11460.8,107.5,16.76,18724.0,266.71,85.0,71.0,68.54,2480.0,11.4,4.48
北京市,2016年,9.32,887.37,35416.0,28438.7,107.0,11.7,9773.0,397.95,82.2,108.0,53.86,2195.0,4.12,5.2
天津市,2016年,7.37,502.49,26129.0,11487.0,105.8,6.58,5443.0,203.23,82.1,61.0,42.15,1443.0,1.83,5.54
河北省,2016年,12.42,1134.9,14247.0,28879.7,106.7,36.05,78795.0,547.86,86.3,53.0,48.26,7375.0,6.06,6.36
山西省,2016年,10.29,606.97,12683.0,12160.1,104.0,18.97,42204.0,300.86,75.9,61.0,51.52,3514.0,4.77,5.52
内蒙古自治区,2016年,9.03,554.97,18072.0,13879.0,106.8,13.92,24002.0,284.63,74.7,68.0,55.25,2436.0,3.34,5.69
辽宁省,2016年,6.6,633.96,19853.0,20832.0,100.6,28.44,36131.0,307.31,83.8,63.0,64.96,4327.0,-0.18,6.78
吉林省,2016年,5.55,499.7,14773.0,10603.5,106.5,15.12,20829.0,273.62,78.3,61.0,55.32,2567.0,-0.05,5.6
黑龙江省,2016年,6.12,558.87,14446.0,12280.9,104.3,22.01,20375.0,280.56,82.7,58.0,57.92,3463.0,-0.49,6.61
上海市,2016年,9.0,840.97,37458.0,30963.9,107.1,12.92,5016.0,383.1,95.8,74.0,53.37,2467.0,4.0,5.0
江苏省,2016年,9.76,1842.94,22130.0,78261.2,107.6,44.31,32117.0,712.77,87.3,65.0,55.39,8381.0,2.73,7.03
浙江省,2016年,11.22,1300.03,25527.0,48095.8,107.7,28.99,31546.0,542.44,89.4,77.0,51.86,6072.0,5.7,5.52
安徽省,2016年,13.02,910.87,14712.0,26801.2,108.6,28.17,24385.0,480.12,84.8,47.0,45.47,6033.0,7.06,5.96
福建省,2016年,14.5,789.11,20167.0,30199.2,108.2,17.48,27656.0,377.58,81.9,57.0,45.11,4016.0,8.3,6.2
江西省,2016年,13.45,848.88,13259.0,18761.2,108.8,20.91,38272.0,438.72,89.4,48.0,45.54,4496.0,7.29,6.16
山东省,2016年,17.89,1825.99,15926.0,59702.6,107.5,54.1,76997.0,790.19,85.0,65.0,54.39,9973.0,10.84,7.05
河南省,2016年,13.26,1343.76,12712.0,40167.7,108.4,52.15,71271.0,778.01,87.9,57.0,54.72,9778.0,6.15,7.11
湖北省,2016年,12.04,1047.37,15889.0,33767.6,108.2,36.06,36354.0,588.9,92.0,65.0,61.27,5885.0,5.07,6.97
湖南省,2016年,13.57,1032.37,15750.0,31225.0,107.9,42.58,61055.0,546.27,86.0,58.0,62.41,6625.0,6.56,7.01
广东省,2016年,11.85,2318.47,23448.0,83493.4,107.8,46.51,49079.0,1121.83,84.0,60.0,42.29,11908.0,7.44,4.41
广西壮族自治区,2016年,13.82,854.55,12295.0,16417.2,107.0,22.45,34253.0,468.18,88.0,60.0,46.4,4857.0,7.87,5.95
海南省,2016年,14.57,214.24,14275.0,4151.0,107.7,4.03,5144.0,114.17,78.2,63.0,43.97,957.0,8.57,6.0
重庆市,2016年,11.77,575.18,16385.0,18271.1,110.5,19.09,19933.0,331.18,84.4,59.0,62.61,3110.0,4.53,7.24
四川省,2016年,10.48,1301.85,14839.0,33879.2,107.6,51.92,79513.0,772.24,90.2,60.0,62.84,8251.0,3.49,6.99
贵州省,2016年,13.43,843.54,11932.0,12133.9,110.4,21.03,28017.0,392.51,78.2,58.0,59.15,3758.0,6.5,6.93
云南省,2016年,13.16,871.14,11769.0,16773.6,108.5,25.36,24234.0,466.98,83.0,52.0,53.15,4677.0,6.61,6.55
西藏自治区,2016年,15.79,169.64,9319.0,1197.4,110.3,1.45,6835.0,69.97,74.5,45.0,43.67,340.0,10.68,5.11
陕西省,2016年,10.64,777.53,13943.0,19354.6,107.5,22.54,36598.0,381.66,82.2,76.0,59.11,3874.0,4.41,6.23
甘肃省,2016年,12.18,548.95,12254.0,7207.1,107.6,13.43,28197.0,273.25,82.6,52.0,51.47,2520.0,6.0,6.18
青海省,2016年,14.7,171.36,14775.0,2310.7,107.9,3.47,6291.0,103.06,74.4,62.0,58.6,582.0,8.52,6.18
宁夏回族自治区,2016年,13.69,152.57,14965.0,2853.3,107.2,3.63,4254.0,82.03,84.4,66.0,53.8,695.0,8.97,4.72
新疆维吾尔自治区,2016年,15.34,664.52,14066.0,9913.9,107.7,15.69,18825.0,256.43,86.5,71.0,65.43,2428.0,11.08,4.26
北京市,2015年,7.96,855.67,33803.0,26034.1,106.8,11.16,9771.0,370.52,80.6,104.0,51.4,2188.0,3.01,4.95
天津市,2015年,5.84,507.44,24162.0,10889.2,106.8,6.37,5223.0,195.02,81.6,59.0,41.17,1439.0,0.23,5.61
河北省,2015年,11.35,1041.16,13031.0,26744.1,106.8,34.21,78594.0,535.09,83.6,50.0,46.07,7345.0,5.56,5.79
山西省,2015年,9.98,602.85,11729.0,12036.1,103.1,18.32,41002.0,290.71,76.9,58.0,50.0,3519.0,4.42,5.56
内蒙古自治区,2015年,7.72,536.53,17179.0,13062.7,107.6,13.39,23886.0,257.15,73.2,65.0,53.32,2440.0,2.4,5.32
辽宁省,2015年,6.17,610.24,17200.0,20657.8,102.8,26.7,35236.0,281.96,85.4,60.0,60.92,4338.0,-0.42,6.59
吉林省,2015年,5.87,477.57,13764.0,10162.9,106.1,14.45,20612.0,245.81,78.5,58.0,52.48,2613.0,0.34,5.53
黑龙江省,2015年,6.0,549.66,13403.0,12023.2,105.4,21.26,20752.0,273.96,81.4,56.0,55.77,3529.0,-0.6,6.6
上海市,2015年,7.52,767.32,34784.0,27821.6,107.0,12.28,5016.0,303.46,95.7,70.0,50.85,2458.0,2.45,5.07
江苏省,2015年,9.05,1746.22,20556.0,71876.0,108.5,41.36,31925.0,649.31,88.6,61.0,51.86,8315.0,2.02,7.03
浙江省,2015年,10.52,1264.93,24117.0,44222.0,108.0,27.25,31137.0,485.5,88.9,73.0,49.2,5985.0,5.02,5.5
安徽省,2015年,12.92,856.73,12840.0,24142.7,108.6,26.74,24853.0,485.6,85.0,46.0,43.53,6011.0,6.98,5.94
福建省,2015年,13.9,757.51,18850.0,27307.5,108.8,17.3,27921.0,351.19,82.6,55.0,45.07,3984.0,7.8,6.1
江西省,2015年,13.2,793.27,12403.0,17031.1,109.0,19.78,38557.0,398.79,90.4,46.0,43.33,4485.0,6.96,6.24
山东省,2015年,12.55,1690.62,14578.0,56159.1,107.8,51.94,77259.0,701.43,84.3,63.0,52.74,9866.0,5.88,6.67
河南省,2015年,12.7,1271.0,11835.0,36798.2,108.3,48.96,71394.0,717.74,87.2,55.0,51.65,9701.0,5.65,7.05
湖北省,2015年,10.74,913.05,14316.0,30661.6,108.5,34.31,36179.0,515.25,92.4,63.0,58.64,5850.0,4.91,5.83
湖南省,2015年,13.58,928.54,14267.0,28811.7,108.5,39.7,62646.0,493.74,86.4,55.0,58.52,6615.0,6.72,6.86
广东省,2015年,11.12,2040.65,20976.0,75820.8,107.9,43.57,48320.0,918.36,83.5,57.0,40.16,11678.0,6.8,4.32
广西壮族自治区,2015年,14.05,789.69,11401.0,15030.2,108.0,21.45,34439.0,413.87,89.8,57.0,44.72,4811.0,7.9,6.15
海南省,2015年,14.57,206.84,13575.0,3782.7,107.6,3.87,5046.0,100.54,79.4,60.0,42.49,945.0,8.57,6.0
重庆市,2015年,11.05,536.24,15140.0,16305.9,110.9,17.65,19806.0,313.98,86.8,55.0,58.53,3070.0,3.86,7.19
四川省,2015年,10.3,1252.33,13632.0,30829.1,107.9,48.88,80109.0,686.42,89.6,58.0,59.58,8196.0,3.36,6.94
贵州省,2015年,13.0,772.91,10414.0,10887.1,110.6,19.64,28712.0,360.8,80.9,53.0,55.65,3708.0,5.8,7.2
云南省,2015年,12.88,767.46,11005.0,15358.6,108.6,23.76,24181.0,422.66,82.9,48.0,50.11,4663.0,6.4,6.48
西藏自治区,2015年,15.75,167.27,8246.0,1063.6,110.8,1.4,6814.0,62.8,73.2,44.0,43.25,330.0,10.65,5.1
陕西省,2015年,10.1,758.07,13087.0,18188.3,107.7,21.19,37030.0,369.38,83.4,70.0,55.86,3846.0,3.82,6.28
甘肃省,2015年,12.36,498.33,10951.0,6793.4,108.0,12.77,27799.0,250.1,82.2,50.0,49.14,2523.0,6.21,6.15
青海省,2015年,14.72,163.19,13611.0,2054.3,108.1,3.45,6223.0,99.43,76.0,60.0,58.71,577.0,8.55,6.17
宁夏回族自治区,2015年,12.62,142.51,13816.0,2644.7,107.8,3.38,4288.0,74.11,83.2,62.0,50.61,684.0,8.04,4.58
新疆维吾尔自治区,2015年,15.59,647.93,12867.0,9545.7,108.7,15.03,18798.0,244.01,86.9,69.0,63.68,2385.0,11.08,4.51
